Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Fuel Usage (L/Day),Rental Days,Last Operator ID
EQX1301,Compactor,S003,2025-11-29,2025-12-28,6.4,10.1,31.8,29,OP145
EQX1302,Backhoe,S006,2025-04-03,2025-04-28,6.8,11.7,34.6,25,OP156
EQX1303,Backhoe,NULL,2025-01-24,2025-02-23,6.9,9.2,49.0,30,OP101
EQX1304,Grader,S010,2025-09-25,2025-11-05,6.4,8.0,47.3,41,OP143
EQX1305,Bulldozer,S003,2025-01-06,2025-01-17,9.0,0.9,60.4,11,OP131
EQX1306,Grader,S007,2025-04-25,2025-05-27,2.5,6.9,12.2,32,OP116
EQX1307,Backhoe,NULL,2025-12-01,2025-12-22,1.2,15.7,8.7,21,OP103
EQX1308,Loader,S001,2025-06-24,2025-07-18,5.2,7.4,34.5,24,OP155
EQX1309,Forklift,S006,2025-12-04,2025-12-18,6.8,6.3,52.1,14,OP141
EQX1310,Excavator,S004,2025-02-24,2025-03-19,8.0,9.9,42.9,23,OP160
EQX1311,Forklift,S010,2025-11-21,2025-11-25,3.7,11.5,18.9,4,OP158
EQX1312,Backhoe,S010,2025-10-11,2025-10-14,7.5,8.3,39.6,3,OP133
EQX1313,Bulldozer,S009,2025-11-07,2025-12-29,9.9,9.1,56.7,52,OP127
EQX1314,Forklift,S012,2025-03-12,2025-03-19,2.8,10.3,21.6,7,OP133
EQX1315,Grader,S011,2025-12-18,2025-12-24,5.9,6.0,45.0,6,OP146
EQX1316,Forklift,S010,2025-10-15,2025-11-01,3.5,10.1,20.3,17,OP146
EQX1317,Compactor,S001,2025-01-13,2025-01-28,3.6,11.8,27.3,15,OP113
EQX1318,Bulldozer,S001,2025-04-15,2025-04-18,3.7,8.9,31.0,3,OP129
EQX1319,Compactor,S007,2025-12-21,2025-12-27,7.9,6.6,36.0,6,OP151
EQX1320,Loader,S012,2025-04-26,2025-05-21,7.3,7.2,58.3,25,OP124
EQX1321,Grader,S012,2025-04-06,2025-04-13,2.2,3.2,11.5,7,OP125
EQX1322,Loader,S006,2025-01-21,2025-01-24,8.5,7.9,57.0,3,OP150
EQX1323,Forklift,S003,2025-09-27,2025-10-25,4.0,6.4,19.7,28,OP151
EQX1324,Grader,S010,2025-07-04,2025-07-30,6.9,0.1,51.8,26,OP136
EQX1325,Backhoe,S011,2025-05-05,2025-06-25,8.4,4.6,58.2,51,OP125
EQX1326,Loader,S008,2025-09-21,2025-10-21,8.3,6.2,72.8,30,OP119
EQX1327,Bulldozer,NULL,2025-11-17,2025-12-02,4.5,10.0,24.4,15,OP150
EQX1328,Compactor,S006,2025-01-13,2025-01-26,2.4,3.0,11.6,13,NULL
EQX1329,Grader,S006,2025-11-19,2025-12-11,6.0,7.7,43.7,22,NULL
EQX1330,Excavator,S011,2025-09-15,2025-10-14,4.0,4.6,32.8,29,OP106
EQX1331,Excavator,S009,2025-03-11,2025-03-21,3.0,11.0,24.2,10,OP141
EQX1332,Forklift,S001,2025-03-14,2025-05-11,4.2,3.7,33.0,58,OP126
EQX1333,Forklift,S004,2025-03-14,2025-05-12,2.2,9.6,18.3,59,OP117
EQX1334,Backhoe,NULL,2025-12-10,2025-12-23,6.1,4.3,45.9,13,OP147
EQX1335,Grader,S008,2025-04-10,2025-04-14,3.8,6.8,23.3,4,OP143
EQX1336,Forklift,S012,2025-05-07,2025-05-25,2.7,8.2,16.2,18,OP128
EQX1337,Backhoe,S003,2025-09-07,2025-09-17,7.9,1.7,54.7,10,OP106
EQX1338,Loader,S009,2025-02-08,2025-02-22,6.1,7.1,52.3,14,OP153
EQX1339,Loader,S004,2025-03-18,2025-04-17,7.1,5.6,48.3,30,OP138
EQX1340,Compactor,S009,2025-11-11,2025-11-19,3.1,7.9,27.4,8,OP111
EQX1341,Backhoe,NULL,2025-04-29,2025-05-15,6.7,9.5,41.9,16,OP103
EQX1342,Backhoe,S009,2025-02-22,2025-03-10,7.8,6.5,41.2,16,OP118
EQX1343,Compactor,S004,2025-09-22,2025-09-30,6.9,9.5,58.6,8,OP123
EQX1344,Excavator,S009,2025-03-26,2025-04-25,3.1,7.2,25.3,30,OP114
EQX1345,Grader,S008,2025-09-04,2025-09-13,5.9,2.9,29.9,9,OP111
EQX1346,Bulldozer,S003,2025-10-21,2025-10-26,6.6,11.6,48.6,5,OP112
EQX1347,Loader,S003,2025-08-30,2025-10-14,6.2,9.8,33.0,45,OP127
EQX1348,Loader,S002,2025-08-21,2025-09-17,1.8,19.2,13.6,27,OP125
EQX1349,Bulldozer,S009,2025-11-11,2025-11-28,3.7,10.8,25.6,17,OP108
EQX1350,Excavator,S001,2025-09-25,2025-10-21,3.6,9.5,22.4,26,OP128
